t_s,P_rigid_W,P_membrane_W,lift_rigid_N,lift_membrane_N,drag_rigid_N,drag_membrane_N,elastic_energy_J,effective_alpha_deg
0.7708,-12.111141,-2.802331,10.459327,4.935968,1.817384,0.523468,2.01988750,53.9968
0.7750,-15.502930,-0.987210,14.357820,4.615437,3.341201,0.487238,2.07786926,53.7428
0.7792,-11.351041,-4.650960,7.499164,7.118632,1.637191,0.972513,2.04405352,22.3160
0.7833,-5.053405,-7.420153,2.017381,6.308802,0.354786,1.207424,2.11274369,50.2351
0.7875,-10.018996,4.061973,3.197234,1.623906,1.057051,0.170485,2.07124901,62.9205
0.7917,-1.964659,-1.510867,0.258539,2.748351,0.058939,0.564694,2.11452531,53.2417
0.7958,-8.811712,1.664706,3.723923,2.192921,0.980756,0.321411,2.07804972,7.7735
0.8000,-17.807934,-3.390877,6.755011,3.313864,2.677278,0.695497,2.13190643,44.2344
0.8042,-17.514395,3.589320,9.277368,1.692281,2.972491,0.179722,2.09796628,34.7790
0.8083,-14.525916,-2.988651,9.137856,3.593397,2.227370,0.733083,2.14906088,49.1198
0.8125,-9.237136,-3.892353,4.801440,3.476431,0.967489,0.748434,2.11463576,27.7438
0.8167,-16.296598,-0.919145,8.484078,3.166454,2.972685,0.558442,2.17187967,15.7270
0.8208,-17.052547,-1.973824,8.142801,2.574191,3.014420,0.573728,2.13240759,32.1716
0.8250,-9.797997,2.035212,4.500181,1.716844,1.209234,0.308762,2.18210155,10.4790
0.8292,-9.602344,5.605778,2.518583,0.700223,0.966641,0.106254,2.14290199,5.9014
0.8333,-11.838121,-1.169092,0.722053,0.298319,0.301920,0.072999,2.18593722,25.7459
0.8375,0.665616,10.830948,0.427522,0.544343,0.075654,0.069460,2.15814703,61.7502
0.8417,-7.831979,0.852743,0.540984,1.121473,0.238636,0.281576,2.19065067,11.9681
0.8458,-4.931438,-3.001511,1.168353,1.336838,0.268012,0.357657,2.17001311,27.7718
0.8500,-10.091602,8.593942,2.141106,0.144874,0.869704,0.018540,2.20383818,46.9272
0.8542,-6.794498,-0.357201,1.968480,0.660186,0.527487,0.178041,2.17758535,41.5078
0.8583,-6.250500,2.784445,0.565729,0.018348,0.246448,0.003393,2.20787853,32.1822
0.8625,-2.232680,-6.640802,0.001957,0.388917,0.000599,0.155582,2.18220814,8.3904
0.8667,4.702965,-4.888232,-0.064228,-0.108568,0.024704,0.036162,2.20922981,48.6563
